Domain,IP Address,@ Symbol,URL Length,URL Depth,Redirection,HTTP/HTTPS in Domain,Shortening Service,Prefix/Suffix - in Domain,DNS Record,Web Traffic,Domain Age,End Period of Domain,IFrame Redirection,Status Bar Customization,Disabling Right Click,Website Forwarding,Label
www.blackmistress.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
www.blogs-de-sexe.com,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1
www.muschi-feuchte.de,0,0,0,3,0,0,0,1,0,1,1,0,1,0,0,0,1
new-playboy.jp,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1
www.vintagefemdom.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
allbikinivote.seemyhomepage.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,1
myblog.de,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,0,1
www.circlist.de,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
www.geocities.com,0,0,0,6,0,0,0,0,0,1,1,0,1,0,0,0,1
www.pornvalleynews.com,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1
www.diamantenero.com,0,0,0,3,0,0,0,0,0,1,1,1,1,0,0,0,1
tnasupermarket.com,0,0,0,5,0,0,1,0,0,1,0,1,1,0,0,0,1
www.realamateurmen.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,1,1
www.millenniumen.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1
www.anal-sex-positions-tips.com,0,0,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1
www.aliencatstudio.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,1
www.mamadasamateur.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1
www.mifi-couple-amateur.com,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1
www.forbiddenpleasures.com.au,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
www.tyroneking.net,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,0,1
www.club-bigbamboo.de,0,0,0,3,0,0,0,1,0,1,1,0,1,0,0,0,1
ourworld.compuserve.com,0,0,0,5,0,0,0,0,0,1,1,1,1,0,0,0,1
www.wikine.fr,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,1
www.1gayporn.com,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,1
www.thedoghouse.org,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
www.affordable-leather.co.uk,0,0,0,3,0,0,0,1,0,1,1,0,1,0,0,0,1
www.free-sex-pics-hardcore-sex-pics.com,0,0,0,4,0,0,0,1,1,1,1,1,1,1,1,1,1
www.sex-cums-4u.com,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1
nova-film.com,0,0,0,3,0,0,0,1,0,1,1,0,1,0,0,0,1
nudegirl.ca,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,1,1
www.pantie-ass-smother.com,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1
www.swankyville.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,1
www.gruppogarage.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
www.generalxxx.com,0,0,0,4,0,0,1,0,0,1,1,0,1,0,0,0,1
members.tripod.com,0,0,0,4,0,0,0,0,1,1,1,1,1,0,0,0,1
chrisindys.homemail.com.au,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
www.free-trial-for-porn.com,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,1
www.porn-video-clip.com,0,0,0,4,0,0,0,1,1,1,1,1,1,1,1,1,1
www.porn-hub.fr,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,1
www.flashyourrack.net,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,1
www.cam24.de,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
www.free-hot-oral-sex-pics-videos.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,1
www.amateur-blow-job.org,0,0,0,3,0,0,0,1,1,1,1,0,1,0,0,0,1
www.nevest.net,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
www.shokushu.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,1
www.free-porn-paradise.com,0,0,0,3,0,0,0,1,0,1,0,1,1,0,0,0,1
