Domain,IP Address,@ Symbol,URL Length,URL Depth,Redirection,HTTP/HTTPS in Domain,Shortening Service,Prefix/Suffix - in Domain,DNS Record,Web Traffic,Domain Age,End Period of Domain,IFrame Redirection,Status Bar Customization,Disabling Right Click,Website Forwarding,Label
www.dutchthewiz.com,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,0
www.collectiblejewels.com,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
www.deadlinedata.com,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0
www.mil.fi,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,0,0
www.avclub.com,0,0,0,5,0,0,0,0,1,1,1,1,1,0,0,0,0
www.yellowstone.net,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.eteamz.com,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,0
www.beckettonfilm.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.newedgemanagement.com,0,0,0,3,0,0,1,0,0,1,0,1,1,0,0,0,0
www.fourdir.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0
eserver.org,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,0
www.tkhr.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0
www.chinaluqing.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.urmc.rochester.edu,0,0,0,6,0,0,0,0,0,1,1,0,1,0,0,0,0
www.whitewaterontario.ca,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
discountpetdrugs.com,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
democrats.reform.house.gov,0,0,1,3,0,0,0,0,0,1,1,0,1,0,0,0,0
com.en.sport.citroen.com,0,0,0,3,0,0,0,0,1,1,1,1,1,0,0,0,0
www.dbccollectibles.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
leftfootblue.20m.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0
www.bostonphoenix.com,0,0,1,8,0,0,1,0,0,1,0,1,1,0,0,0,0
www.first-nature.com,0,0,1,6,0,0,0,1,0,1,1,0,1,0,0,0,0
www.greenspecialty.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.kenanderson.net,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,0,0
sports.excite.com,0,0,0,6,0,0,0,0,0,1,1,0,1,0,0,0,0
www.egfgunclub.org,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.geocities.com,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,0
www.shastacam.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.two-lane.com,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0
www.presstimeproductions.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.funtrivia.com,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,0
www.skdtac.com,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
www.familyofficenetwork.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.salon.com,0,0,0,7,0,0,0,0,0,1,1,0,1,0,0,0,0
www.southsidemachine.net,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.bleep-holdings.co.uk,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0
www.if-legends.org,0,0,0,4,0,0,0,1,0,1,1,0,1,0,0,0,0
www.alfaromeo.com.au,0,0,0,3,0,0,0,0,1,1,1,0,1,0,0,0,0
www.iberco.com,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0
www.isa.org.mx,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
e.webring.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0
www.pregnancy-directory.com,0,0,0,3,0,0,0,1,1,1,1,1,1,1,1,1,0
www.astrotulsa.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0
www.mediaminer.org,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,0
www.holidayclassics.com,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0
tc.bmjjournals.com,0,0,0,8,0,0,0,0,0,1,1,0,1,0,0,0,0
www.angelfire.com,0,0,0,5,0,0,0,0,1,1,1,1,1,0,0,0,0
www.mmtimber.co.uk,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
ps3.gamezone.com,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0,0
www.speakerscorner.de,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
home.comcast.net,0,0,0,4,0,0,0,0,1,1,1,1,1,0,0,0,0
www.customerservicetraining.tv,0,0,0,3,0,0,0,0,1,1,1,0,1,0,0,0,0
ddm.klatovy.cz,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,0
www.orangeday.net,0,0,0,4,0,0,0,0,0,1,1,1,1,0,0,0,0
www.rr61.de,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
whyquit.com,0,0,0,4,0,0,1,0,0,1,0,1,1,0,0,0,0
www.geocities.com,0,0,0,6,0,0,0,0,0,1,1,0,1,0,0,0,0
www.paws-and-tails.com,0,0,0,3,0,0,0,1,0,1,1,0,1,0,0,0,0
www.snowcross.com,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0
www.vuu.org,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
saints.sqpn.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
patrickpoon.com,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
www.gransfors.us,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.uufwbg.org,0,0,0,2,0,0,0,0,1,1,1,0,1,0,0,0,0
www.interpretingline.co.uk,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.pennantshop.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
www.cscworld.com,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,0,0
www.citynational.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0
